Start_Year,count,Genre,Total,Top_Anime
1917.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1918.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1919.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1920.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1921.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1922.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1923.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1924.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1925.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1926.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1927.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1928.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1929.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1930.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1931.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1932.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1933.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1934.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1935.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1936.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1937.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1938.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1939.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1940.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1941.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1942.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1943.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1944.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1945.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1946.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1947.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1948.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1949.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1950.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1951.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1952.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1953.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1954.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
